National Drug Code,brand_name,gen_nm
55111020090,SIMVASTATIN,SIMVASTATIN
55111022905,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
55111022990,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
55111023005,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
55111023090,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
55111023105,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
55111023190,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
55111026805,SIMVASTATIN,SIMVASTATIN
55111026830,SIMVASTATIN,SIMVASTATIN
55111026890,SIMVASTATIN,SIMVASTATIN
55111027405,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
55111027490,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
59630062930,ALTOPREV,LOVASTATIN
59762015501,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
59762015502,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
59762015601,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
59762015602,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
59762015701,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
59762015702,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
59762015801,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
59762015802,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60429036990,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505016809,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505016907,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505016909,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505017007,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505017009,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505017900,LOVASTATIN,LOVASTATIN
60505132305,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505132309,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
60505257808,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60505257809,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60505257908,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60505257909,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60505258008,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60505258009,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60505267108,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
60505267109,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
61442014101,LOVASTATIN,LOVASTATIN
61442014110,LOVASTATIN,LOVASTATIN
61442014160,LOVASTATIN,LOVASTATIN
61442014201,LOVASTATIN,LOVASTATIN
61442014210,LOVASTATIN,LOVASTATIN
61442014260,LOVASTATIN,LOVASTATIN
61442014301,LOVASTATIN,LOVASTATIN
61442014310,LOVASTATIN,LOVASTATIN
61442014360,LOVASTATIN,LOVASTATIN
62175089043,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
62175089046,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
62175089143,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
62175089146,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
62175089241,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
62175089246,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304059790,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
63304059890,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
63304079110,SIMVASTATIN,SIMVASTATIN
63304079210,SIMVASTATIN,SIMVASTATIN
63304079290,SIMVASTATIN,SIMVASTATIN
63304082705,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304082790,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304082805,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304082890,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304082905,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304082990,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304083005,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
63304083090,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
65862005030,SIMVASTATIN,SIMVASTATIN
65862005090,SIMVASTATIN,SIMVASTATIN
65862005126,SIMVASTATIN,SIMVASTATIN
65862005130,SIMVASTATIN,SIMVASTATIN
65862005190,SIMVASTATIN,SIMVASTATIN
65862005199,SIMVASTATIN,SIMVASTATIN
65862005226,SIMVASTATIN,SIMVASTATIN
65862005230,SIMVASTATIN,SIMVASTATIN
65862005290,SIMVASTATIN,SIMVASTATIN
65862005299,SIMVASTATIN,SIMVASTATIN
65862005322,SIMVASTATIN,SIMVASTATIN
65862005330,SIMVASTATIN,SIMVASTATIN
65862005390,SIMVASTATIN,SIMVASTATIN
65862005399,SIMVASTATIN,SIMVASTATIN
65862005439,SIMVASTATIN,SIMVASTATIN
65862005490,SIMVASTATIN,SIMVASTATIN
65862005499,SIMVASTATIN,SIMVASTATIN
66869010490,LIVALO,PITAVASTATIN CALCIUM
66869020490,LIVALO,PITAVASTATIN CALCIUM
66869040490,LIVALO,PITAVASTATIN CALCIUM
68001022400,LOVASTATIN,LOVASTATIN
68084058901,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68180046701,LOVASTATIN,LOVASTATIN
68180046703,LOVASTATIN,LOVASTATIN
68180046707,LOVASTATIN,LOVASTATIN
68180046801,LOVASTATIN,LOVASTATIN
68180046803,LOVASTATIN,LOVASTATIN
68180046805,LOVASTATIN,LOVASTATIN
68180046807,LOVASTATIN,LOVASTATIN
68180046901,LOVASTATIN,LOVASTATIN
68180046903,LOVASTATIN,LOVASTATIN
68180046905,LOVASTATIN,LOVASTATIN
68180046907,LOVASTATIN,LOVASTATIN
68180047801,SIMVASTATIN,SIMVASTATIN
68180047802,SIMVASTATIN,SIMVASTATIN
68180047803,SIMVASTATIN,SIMVASTATIN
68180047901,SIMVASTATIN,SIMVASTATIN
68180047902,SIMVASTATIN,SIMVASTATIN
68180047903,SIMVASTATIN,SIMVASTATIN
68180048001,SIMVASTATIN,SIMVASTATIN
68180048002,SIMVASTATIN,SIMVASTATIN
68180048003,SIMVASTATIN,SIMVASTATIN
68180048101,SIMVASTATIN,SIMVASTATIN
68180048102,SIMVASTATIN,SIMVASTATIN
68180048103,SIMVASTATIN,SIMVASTATIN
68180048209,SIMVASTATIN,SIMVASTATIN
68180048502,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68180048509,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68180048602,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68180048609,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68180048702,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68180048709,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68180048802,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68180048809,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382006516,SIMVASTATIN,SIMVASTATIN
68382006605,SIMVASTATIN,SIMVASTATIN
68382006610,SIMVASTATIN,SIMVASTATIN
68382006616,SIMVASTATIN,SIMVASTATIN
68382006624,SIMVASTATIN,SIMVASTATIN
68382006705,SIMVASTATIN,SIMVASTATIN
68382006710,SIMVASTATIN,SIMVASTATIN
68382006716,SIMVASTATIN,SIMVASTATIN
68382006805,SIMVASTATIN,SIMVASTATIN
68382006810,SIMVASTATIN,SIMVASTATIN
68382006816,SIMVASTATIN,SIMVASTATIN
68382006905,SIMVASTATIN,SIMVASTATIN
68382006910,SIMVASTATIN,SIMVASTATIN
68382006916,SIMVASTATIN,SIMVASTATIN
68382007005,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382007016,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382007105,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382007116,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382007205,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382007216,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382007305,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68382007316,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019505,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019590,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019605,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019690,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019705,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019790,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019805,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68462019890,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM
68645026154,SIMVASTATIN,SIMVASTATIN
68645026254,SIMVASTATIN,SIMVASTATIN
68645026354,SIMVASTATIN,SIMVASTATIN
68645040270,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645040370,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645041754,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645041854,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645045870,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645045970,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645046054,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645046154,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645047054,SIMVASTATIN,SIMVASTATIN
68645047154,SIMVASTATIN,SIMVASTATIN
68645047254,SIMVASTATIN,SIMVASTATIN
68645048070,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645048170,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645048254,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68645048354,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM
68382009205,CARVEDILOL,
68382009301,CARVEDILOL,
68382009305,CARVEDILOL,
68382009401,CARVEDILOL,
68382009405,CARVEDILOL,
68382009501,CARVEDILOL,
68382009505,CARVEDILOL,
68462016201,CARVEDILOL,
68462016205,CARVEDILOL,
68462016301,CARVEDILOL,
68462016305,CARVEDILOL,
68462016401,CARVEDILOL,
68462016405,CARVEDILOL,
68462016501,CARVEDILOL,
68462016505,CARVEDILOL,
68645019059,METOPROLOL TARTRATE,
68645019159,METOPROLOL TARTRATE,
68645035059,CARVEDILOL,
68645035159,CARVEDILOL,
68645035259,CARVEDILOL,
68645046859,CARVEDILOL,
68645047954,METOPROLOL SUCCINATE,
