National Drug Code,ahfscc,tee_code,route_admin,brand_indicator,rx_otc,last_chg_dt,brand_name,gpi,rx_group,drug_class,gen_nm,fd_drug_name,manufacturer_name,dosage_form,unit,strength,usc,usc_desc
2411730,281608,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,ZYPREXA,5.91571E+13,ANTIPSYCHOTICS/ANTIMANIC AGENTS,DIBENZAPINES,OLANZAPINE,OLANZAPINE TAB 10 MG,LILLY,TABLET,MG,10,64190,"ANTIPSYCHOTICS,OTH"
2416502,681612,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,EVISTA,3.00531E+13,ENDOCRINE AND METABOLIC AGENTS - MISC.,HORMONE RECEPTOR MODULATORS,RALOXIFENE HCL,RALOXIFENE HCL TAB 60 MG,LILLY,TABLET,MG,60,59290,"BONE DENSITY REGULATOR,OTH"
2416507,681612,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,EVISTA,3.00531E+13,ENDOCRINE AND METABOLIC AGENTS - MISC.,HORMONE RECEPTOR MODULATORS,RALOXIFENE HCL,RALOXIFENE HCL TAB 60 MG,LILLY,TABLET,MG,60,59290,"BONE DENSITY REGULATOR,OTH"
2416530,681612,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,EVISTA,3.00531E+13,ENDOCRINE AND METABOLIC AGENTS - MISC.,HORMONE RECEPTOR MODULATORS,RALOXIFENE HCL,RALOXIFENE HCL TAB 60 MG,LILLY,TABLET,MG,60,59290,"BONE DENSITY REGULATOR,OTH"
2441530,281608,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,ZYPREXA,5.91571E+13,ANTIPSYCHOTICS/ANTIMANIC AGENTS,DIBENZAPINES,OLANZAPINE,OLANZAPINE TAB 15 MG,LILLY,TABLET,MG,15,64190,"ANTIPSYCHOTICS,OTH"
2445385,281608,BIOEQUIVALENCE RESOLVED,ORAL,TRADEMARK,RX,30-Dec-15,ZYPREXA ZYDIS,5.91571E+13,ANTIPSYCHOTICS/ANTIMANIC AGENTS,DIBENZAPINES,OLANZAPINE,OLANZAPINE ORALLY DISINTEGRATING TAB 5 MG,LILLY,TABLET DISPERSIBLE,MG,5,64190,"ANTIPSYCHOTICS,OTH"
2446230,241212,NOT RATED,ORAL,TRADEMARK,RX,30-Dec-15,CIALIS,4.03041E+13,CARDIOVASCULAR AGENTS - MISC.,IMPOTENCE AGENTS,TADALAFIL,TADALAFIL TAB 5 MG,LILLY,TABLET,MG,5,85000,SEXUAL FUNCTION DISORDER
2446234,241212,NOT RATED,ORAL,TRADEMARK,RX,30-Dec-15,CIALIS,4.03041E+13,CARDIOVASCULAR AGENTS - MISC.,IMPOTENCE AGENTS,TADALAFIL,TADALAFIL TAB 5 MG,LILLY,TABLET,MG,5,85000,SEXUAL FUNCTION DISORDER
2446330,241212,NOT RATED,ORAL,TRADEMARK,RX,30-Dec-15,CIALIS,4.03041E+13,CARDIOVASCULAR AGENTS - MISC.,IMPOTENCE AGENTS,TADALAFIL,TADALAFIL TAB 10 MG,LILLY,TABLET,MG,10,85000,SEXUAL FUNCTION DISORDER
2446430,241212,NOT RATED,ORAL,TRADEMARK,RX,30-Dec-15,CIALIS,4.03041E+13,CARDIOVASCULAR AGENTS - MISC.,IMPOTENCE AGENTS,TADALAFIL,TADALAFIL TAB 20 MG,LILLY,TABLET,MG,20,85000,SEXUAL FUNCTION DISORDER
2446534,241212,NOT RATED,ORAL,TRADEMARK,RX,30-Dec-15,CIALIS,4.03041E+13,CARDIOVASCULAR AGENTS - MISC.,IMPOTENCE AGENTS,TADALAFIL,TADALAFIL TAB 2.5 MG,LILLY,TABLET,MG,2.5,85000,SEXUAL FUNCTION DISORDER
2475930,201218,NOT RATED,ORAL,TRADEMARK,RX,27-Mar-14,EFFIENT,8.51581E+13,HEMATOLOGICAL AGENTS - MISC.,PLATELET AGGREGATION INHIBITORS,PRASUGREL HCL,PRASUGREL HCL TAB 10 MG (BASE EQUIV),LILLY,TABLET,MG,10,11132,"ADENOSINE RECEPTR ANTAG,ALO"
2476030,201218,NOT RATED,ORAL,TRADEMARK,RX,27-Mar-14,EFFIENT,8.51581E+13,HEMATOLOGICAL AGENTS - MISC.,PLATELET AGGREGATION INHIBITORS,PRASUGREL HCL,PRASUGREL HCL TAB 5 MG (BASE EQUIV),LILLY,TABLET,MG,5,11132,"ADENOSINE RECEPTR ANTAG,ALO"
2477090,240608,NOT RATED,ORAL,TRADEMARK,RX,26-Mar-15,LIVALO,3.94001E+13,ANTIHYPERLIPIDEMICS,HMG COA REDUCTASE INHIBITORS,PITAVASTATIN CALCIUM,PITAVASTATIN CALCIUM TAB 1 MG (BASE EQUIV),LILLY,TABLET,MG,1,32110,HMG-COA REDUCTASE INHIB
2477190,240608,NOT RATED,ORAL,TRADEMARK,RX,26-Mar-15,LIVALO,3.94001E+13,ANTIHYPERLIPIDEMICS,HMG COA REDUCTASE INHIBITORS,PITAVASTATIN CALCIUM,PITAVASTATIN CALCIUM TAB 2 MG (BASE EQUIV),LILLY,TABLET,MG,2,32110,HMG-COA REDUCTASE INHIB
2477290,240608,NOT RATED,ORAL,TRADEMARK,RX,26-Mar-15,LIVALO,3.94001E+13,ANTIHYPERLIPIDEMICS,HMG COA REDUCTASE INHIBITORS,PITAVASTATIN CALCIUM,PITAVASTATIN CALCIUM TAB 4 MG (BASE EQUIV),LILLY,TABLET,MG,4,32110,HMG-COA REDUCTASE INHIB
2512330,201218,NOT RATED,ORAL,TRADEMARK,RX,30-Dec-15,EFFIENT,8.51581E+13,HEMATOLOGICAL AGENTS - MISC.,PLATELET AGGREGATION INHIBITORS,PRASUGREL HCL,PRASUGREL HCL TAB 10 MG (BASE EQUIV),LILLY,TABLET,MG,10,11132,"ADENOSINE RECEPTR ANTAG,ALO"
2512377,201218,NOT RATED,ORAL,TRADEMARK,RX,30-Dec-15,EFFIENT,8.51581E+13,HEMATOLOGICAL AGENTS - MISC.,PLATELET AGGREGATION INHIBITORS,PRASUGREL HCL,PRASUGREL HCL TAB 10 MG (BASE EQUIV),LILLY,TABLET,MG,10,11132,"ADENOSINE RECEPTR ANTAG,ALO"
2751001,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,30-Dec-15,HUMALOG,2.7104E+13,ANTIDIABETICS,INSULIN,INSULIN LISPRO (HUMAN),INSULIN LISPRO (HUMAN) INJ 100 UNIT/ML,LILLY,SOLUTION,UNIT/ML,100,39131,ANAL OF HUMAN INS FAST ACT
2751017,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,30-Dec-15,HUMALOG,2.7104E+13,ANTIDIABETICS,INSULIN,INSULIN LISPRO (HUMAN),INSULIN LISPRO (HUMAN) INJ 100 UNIT/ML,LILLY,SOLUTION,UNIT/ML,100,39131,ANAL OF HUMAN INS FAST ACT
2751101,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,30-Dec-15,HUMALOG MIX 75/25,2.71041E+13,ANTIDIABETICS,INSULIN,INSULIN LISPRO PROTAMINE & LISPRO (HUMAN),INSULIN LISPRO PROT & LISPRO (HUMAN) INJ 100 UNIT/ML (75-25),LILLY,SUSPENSION, ,0,39134,ANAL OF HUMAN INS COMB
2751201,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,30-Dec-15,HUMALOG MIX 50/50,2.71041E+13,ANTIDIABETICS,INSULIN,INSULIN LISPRO PROTAMINE & LISPRO (HUMAN),INSULIN LISPRO PROT & LISPRO (HUMAN) INJ 100 UNIT/ML (50-50),LILLY,SUSPENSION, ,0,39134,ANAL OF HUMAN INS COMB
2751601,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,30-Dec-15,HUMALOG,2.71E+229,ANTIDIABETICS,INSULIN,INSULIN LISPRO (HUMAN),INSULIN LISPRO (HUMAN) SOLN CARTRIDGE 100 UNIT/ML,LILLY,SOLUTION CARTRIDGE,UNIT/ML,100,39131,ANAL OF HUMAN INS FAST ACT
2751659,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,30-Dec-15,HUMALOG,2.71E+229,ANTIDIABETICS,INSULIN,INSULIN LISPRO (HUMAN),INSULIN LISPRO (HUMAN) SOLN CARTRIDGE 100 UNIT/ML,LILLY,SOLUTION CARTRIDGE,UNIT/ML,100,39131,ANAL OF HUMAN INS FAST ACT
2803101,682212,NOT RATED,INJECTION,TRADEMARK,RX,30-Dec-15,GLUCAGON EMERGENCY KIT,2.73E+13,ANTIDIABETICS,DIABETIC OTHER,GLUCAGON (RDNA),GLUCAGON (RDNA) FOR INJ KIT 1 MG,LILLY,KIT,MG,1,78800,"MISCELLANEOUS,OTH"
2821501,682008,NOT RATED,INJECTION,TRADEMARK,OTC,30-Dec-15,HUMULIN R,2.7104E+13,ANTIDIABETICS,INSULIN,INSULIN REGULAR (HUMAN),INSULIN REGULAR (HUMAN) INJ 100 UNIT/ML,LILLY,SOLUTION,UNIT/ML,100,39121,HUMAN INSULINS FAST ACTING
2821517,682008,NOT RATED,INJECTION,TRADEMARK,OTC,30-Dec-15,HUMULIN R,2.7104E+13,ANTIDIABETICS,INSULIN,INSULIN REGULAR (HUMAN),INSULIN REGULAR (HUMAN) INJ 100 UNIT/ML,LILLY,SOLUTION,UNIT/ML,100,39121,HUMAN INSULINS FAST ACTING
2821591,682008,NOT RATED,INJECTION,TRADEMARK,OTC,30-Dec-15,HUMULIN R,2.7104E+13,ANTIDIABETICS,INSULIN,INSULIN REGULAR (HUMAN),INSULIN REGULAR (HUMAN) INJ 100 UNIT/ML,LILLY,SOLUTION,UNIT/ML,100,39121,HUMAN INSULINS FAST ACTING
2831501,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,OTC,30-Dec-15,HUMULIN N,2.7104E+13,ANTIDIABETICS,INSULIN,INSULIN NPH (HUMAN) (ISOPHANE),INSULIN NPH (HUMAN) (ISOPHANE) INJ 100 UNIT/ML,LILLY,SUSPENSION,UNIT/ML,100,39122,HUMAN INSULINS INTERMEDIATE
2831591,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,OTC,30-Dec-15,HUMULIN N,2.7104E+13,ANTIDIABETICS,INSULIN,INSULIN NPH (HUMAN) (ISOPHANE),INSULIN NPH (HUMAN) (ISOPHANE) INJ 100 UNIT/ML,LILLY,SUSPENSION,UNIT/ML,100,39122,HUMAN INSULINS INTERMEDIATE
2840001,682400,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,30-Dec-15,FORTEO,3.00441E+13,ENDOCRINE AND METABOLIC AGENTS - MISC.,BONE DENSITY REGULATORS,TERIPARATIDE (RECOMBINANT),TERIPARATIDE (RECOMBINANT) INJ 600 MCG/2.4ML,LILLY,SOLUTION,MCG/2.4ML,600,59222,PTH ANALOGS
2850101,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,30-Dec-15,HUMULIN R U-500 (CONCENTRATED),2.7104E+13,ANTIDIABETICS,INSULIN,INSULIN REGULAR (HUMAN),INSULIN REGULAR (HUMAN) INJ 500 UNIT/ML,LILLY,SOLUTION,UNIT/ML,500,39121,HUMAN INSULINS FAST ACTING
2871501,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,OTC,30-Dec-15,HUMULIN 70/30,2.71041E+13,ANTIDIABETICS,INSULIN,INSULIN NPH ISOPHANE & REG (HUMAN),INSULIN NPH ISOPHANE & REGULAR HUMAN INJ 100 UNIT/ML (70-30),LILLY,SUSPENSION, ,0,39124,HUMAN INSULINS COMB
2871517,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,OTC,30-Dec-15,HUMULIN 70/30,2.71041E+13,ANTIDIABETICS,INSULIN,INSULIN NPH ISOPHANE & REG (HUMAN),INSULIN NPH ISOPHANE & REGULAR HUMAN INJ 100 UNIT/ML (70-30),LILLY,SUSPENSION, ,0,39124,HUMAN INSULINS COMB
2871591,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,OTC,30-Dec-15,HUMULIN 70/30,2.71041E+13,ANTIDIABETICS,INSULIN,INSULIN NPH ISOPHANE & REG (HUMAN),INSULIN NPH ISOPHANE & REGULAR HUMAN INJ 100 UNIT/ML (70-30),LILLY,SUSPENSION, ,0,39124,HUMAN INSULINS COMB
2872501,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,27-Sep-12,HUMALOG PEN,2.7104E+13,ANTIDIABETICS,INSULIN,INSULIN LISPRO (HUMAN),INSULIN LISPRO (HUMAN) INJ 100 UNIT/ML,LILLY,SOLUTION,UNIT/ML,100,39131,ANAL OF HUMAN INS FAST ACT
2872559,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,27-Sep-12,HUMALOG PEN,2.7104E+13,ANTIDIABETICS,INSULIN,INSULIN LISPRO (HUMAN),INSULIN LISPRO (HUMAN) INJ 100 UNIT/ML,LILLY,SOLUTION,UNIT/ML,100,39131,ANAL OF HUMAN INS FAST ACT
2873001,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,OTC,30-Dec-15,HUMULIN N U-100 PEN,2710402000D320,ANTIDIABETICS,INSULIN,INSULIN NPH (HUMAN) (ISOPHANE),INSULIN NPH (HUMAN) (ISOPHANE) SUSP PEN-INJECTOR 100 UNIT/ML,LILLY,SUSPENSION PEN-INJECTOR,UNIT/ML,100,39122,HUMAN INSULINS INTERMEDIATE
2873059,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,OTC,30-Dec-15,HUMULIN N U-100 PEN,2710402000D320,ANTIDIABETICS,INSULIN,INSULIN NPH (HUMAN) (ISOPHANE),INSULIN NPH (HUMAN) (ISOPHANE) SUSP PEN-INJECTOR 100 UNIT/ML,LILLY,SUSPENSION PEN-INJECTOR,UNIT/ML,100,39122,HUMAN INSULINS INTERMEDIATE
2877001,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,OTC,30-Dec-15,HUMULIN 70/30 PEN,2710409000D320,ANTIDIABETICS,INSULIN,INSULIN NPH ISOPHANE & REG (HUMAN),INSULIN NPH & REGULAR SUSP PEN-INJ 100 UNIT/ML (70-30),LILLY,SUSPENSION PEN-INJECTOR, ,0,39124,HUMAN INSULINS COMB
2877059,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,OTC,30-Dec-15,HUMULIN 70/30 PEN,2710409000D320,ANTIDIABETICS,INSULIN,INSULIN NPH ISOPHANE & REG (HUMAN),INSULIN NPH & REGULAR SUSP PEN-INJ 100 UNIT/ML (70-30),LILLY,SUSPENSION PEN-INJECTOR, ,0,39124,HUMAN INSULINS COMB
2879459,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,27-Sep-12,HUMALOG MIX 75/25 PEN,2.71041E+13,ANTIDIABETICS,INSULIN,INSULIN LISPRO PROTAMINE & LISPRO (HUMAN),INSULIN LISPRO PROT & LISPRO (HUMAN) INJ 100 UNIT/ML (75-25),LILLY,SUSPENSION, ,0,39134,ANAL OF HUMAN INS COMB
2879701,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,30-Dec-15,HUMALOG MIX 75/25 KWIKPEN,2710408000D320,ANTIDIABETICS,INSULIN,INSULIN LISPRO PROTAMINE & LISPRO (HUMAN),INSULIN LISPRO PROT & LISPRO SUS PEN-INJ 100 UNIT/ML (75-25),LILLY,SUSPENSION PEN-INJECTOR, ,0,39134,ANAL OF HUMAN INS COMB
2879759,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,30-Dec-15,HUMALOG MIX 75/25 KWIKPEN,2710408000D320,ANTIDIABETICS,INSULIN,INSULIN LISPRO PROTAMINE & LISPRO (HUMAN),INSULIN LISPRO PROT & LISPRO SUS PEN-INJ 100 UNIT/ML (75-25),LILLY,SUSPENSION PEN-INJECTOR, ,0,39134,ANAL OF HUMAN INS COMB
2879801,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,30-Dec-15,HUMALOG MIX 50/50 KWIKPEN,2710408000D340,ANTIDIABETICS,INSULIN,INSULIN LISPRO PROTAMINE & LISPRO (HUMAN),INSULIN LISPRO PROT & LISPRO SUS PEN-INJ 100 UNIT/ML (50-50),LILLY,SUSPENSION PEN-INJECTOR, ,0,39134,ANAL OF HUMAN INS COMB
2879859,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,30-Dec-15,HUMALOG MIX 50/50 KWIKPEN,2710408000D340,ANTIDIABETICS,INSULIN,INSULIN LISPRO PROTAMINE & LISPRO (HUMAN),INSULIN LISPRO PROT & LISPRO SUS PEN-INJ 100 UNIT/ML (50-50),LILLY,SUSPENSION PEN-INJECTOR, ,0,39134,ANAL OF HUMAN INS COMB
2879901,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,30-Dec-15,HUMALOG KWIKPEN,2710400500D220,ANTIDIABETICS,INSULIN,INSULIN LISPRO (HUMAN),INSULIN LISPRO (HUMAN) SOLN PEN-INJECTOR 100 UNIT/ML,LILLY,SOLUTION PEN-INJECTOR,UNIT/ML,100,39131,ANAL OF HUMAN INS FAST ACT
2879959,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,RX,30-Dec-15,HUMALOG KWIKPEN,2710400500D220,ANTIDIABETICS,INSULIN,INSULIN LISPRO (HUMAN),INSULIN LISPRO (HUMAN) SOLN PEN-INJECTOR 100 UNIT/ML,LILLY,SOLUTION PEN-INJECTOR,UNIT/ML,100,39131,ANAL OF HUMAN INS FAST ACT
2880359,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,OTC,30-Dec-15,HUMULIN 70/30 KWIKPEN,2710409000D320,ANTIDIABETICS,INSULIN,INSULIN NPH ISOPHANE & REG (HUMAN),INSULIN NPH & REGULAR SUSP PEN-INJ 100 UNIT/ML (70-30),LILLY,SUSPENSION PEN-INJECTOR, ,0,39124,HUMAN INSULINS COMB
2880559,682008,NOT RATED,SUBCUTANEOUS,TRADEMARK,OTC,30-Dec-15,HUMULIN N KWIKPEN,2710402000D320,ANTIDIABETICS,INSULIN,INSULIN NPH (HUMAN) (ISOPHANE),INSULIN NPH (HUMAN) (ISOPHANE) SUSP PEN-INJECTOR 100 UNIT/ML,LILLY,SUSPENSION PEN-INJECTOR,UNIT/ML,100,39122,HUMAN INSULINS INTERMEDIATE
3024830,840600,NOT RATED,EXTERNAL,TRADEMARK,RX,29-Sep-11,HALOG,9.05501E+13,DERMATOLOGICALS,CORTICOSTEROIDS - TOPICAL,HALCINONIDE,HALCINONIDE OINT 0.1%,RANBAXY LABORATORIES,OINTMENT,%,0.1,52230,"HORMONES,CORT PLAIN,DERM"
3029305,680400,BIOEQUIVALENCE RESOLVED,INJECTION,TRADEMARK,RX,30-Dec-15,KENALOG-40,2.21001E+13,CORTICOSTEROIDS,GLUCOCORTICOSTEROIDS,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE INJ SUSP 40 MG/ML,B-M SQUIBB U.S. (PRIMARY CARE),SUSPENSION,MG/ML,40,52220,"HORMONES,CORT PLAIN,INJ"
3029320,680400,BIOEQUIVALENCE RESOLVED,INJECTION,TRADEMARK,RX,30-Dec-15,KENALOG-40,2.21001E+13,CORTICOSTEROIDS,GLUCOCORTICOSTEROIDS,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE INJ SUSP 40 MG/ML,B-M SQUIBB U.S. (PRIMARY CARE),SUSPENSION,MG/ML,40,52220,"HORMONES,CORT PLAIN,INJ"
3029328,680400,BIOEQUIVALENCE RESOLVED,INJECTION,TRADEMARK,RX,30-Dec-15,KENALOG-40,2.21001E+13,CORTICOSTEROIDS,GLUCOCORTICOSTEROIDS,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE INJ SUSP 40 MG/ML,B-M SQUIBB U.S. (PRIMARY CARE),SUSPENSION,MG/ML,40,52220,"HORMONES,CORT PLAIN,INJ"
